규격,도수,전통주명,제조사,주원료
750ml,7,입장탁주,(농) 입장주조㈜,국내산 쌀
500ml,30,톡 한잔 소주,(농)(유)대마주조,"국내산 보리, 쌀"
360ml,6,자연담은 복분자막걸리,(농)국순당고창명주㈜,"국내산 복분자(고창), 정제수"
"600ml, 800ml",45,로얄 안동소주,(농)유토피아㈜,국내산 쌀
500ml,17,지란지교,(유)친구들의 술 지란지교,"찹쌀,멥쌀,전통누룩(밀),정제수"
500ml,12,지란지교 무화과 탁주,(유)친구들의술지란지교,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 무화과청, 레드비트분말, 밀함유"
"375ml, 500ml",17,지란지교 약주,(유)친구들의술지란지교,"찹쌀, 멥쌀(국내산), 전통누룩(국내산 밀), 정제수, 밀함유"
"375ml, 750ml",11.5,꽃 와인,264청포도 와이너리,포도(92%(안동 청수 100%))
330ml,3,인사이더 블루베리,가나다라브루어리,"사과, 정제수, 효모, 설탕, 블루베리, 구연산(산도조절제), 합성향료(블루베리향),베리류색소,이산화탄소"
500ml,4.5,로제사이더 오미한잔,가나다라브루어리,"사과즙(국내산),건조오미자(국내산), 이산화탄소, 효모, 소브산칼륨, 메타중아황산칼륨"
750ml,6,가야 프리미엄 막걸리,가야양조장,김해 쌀(100%)
750ml,6,님 그리다,가야양조장,"찹쌀, 멥쌀, 누룩(밀)"
750ml,12,포엠 로제와인,갈기산농업회사,"포도, 설탕, 효모, 메타중아황산나트륨, 소르빈산칼륨"
750ml,12,포엠 화이트와인,갈기산농업회사,"포도, 백설탕, 효모"
550ml,12,로제와인,갈기산포도농원,포도(국내산)
375ml,19,모리,강산명주,"정제수, 보리증류원액"
375ml,10,연희유자,같이양조장,"멥쌀, 찹쌀, 유자"
375ml,10,연희장미,같이양조장,"정제수, 멥쌀, 찹쌀, 누룩, 장미"
375ml,9,연희민트,같이양조장,"정제수, 멥쌀, 찹쌀, 누룩(밀함유), 민트"
375ml,12,연희매화,같이양조장,"찹쌀, 누룩, 정제수, 매화"
750ml,16,산내울 사과애주,거창사과원예농협,"사과, 설탕, 주정, 정제수, 과당"
750ml,16,산내울 복분자주,거창사과원예농협,"복분자, 설탕, 주정, 정제수, 과당"
750ml,25,장수홍삼주,경원리큐르,국내산 인삼
600ml,40,계룡백일주 40%,계룡백일주,"찹쌀, 백미, 누룩, 재래종국화꽃, 오미자, 진달래, 재래종 솔잎"
500ml,15,장보고의 꿈 황칠약주,고금주조장,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)"
750ml,6,완도유자막걸리,고금주조장,"정제수, 완도쌀,소맥분,입국,효모,정제효소,유자즙,"
375ml,40,징기스칸,고도리 와이너리,레드와인
750ml,10.5,고도리 화이트와인 스위트,고도리 와이너리,거봉포도(영천)
500ml,12,레드 와인 500,고도리 와이너리,친환경 거봉 포도
750ml,10.5,고도리 청수 와인,고도리 와이너리,포도(청수)
750ml,12,고도리 레드와인 스위트,고도리 와이너리,MBA 머루포도(영천)
750ml,10.5,고도리 화이트와인 드라이,고도리 와이너리,거봉포도(영천)
750ml,6.5,고도리 복숭아와인,고도리 와이너리,복숭아(경북 영천)
"375ml, 750ml",12,고도리 로제와인,고도리 와이너리,거봉 포도
375ml,12,고도리 아이스와인(아이스 375),고도리 와이너리,
"375ml, 750ml",10.5,고도리 샤인머스캣 화이트와인,고도리 와이너리,"샤인머스캣99%(국내산), 설탕, 효모, 소브산칼륨, 메타중아황산칼륨"
375ml,40,고도리 징기스칸 브랜디,고도리 와이너리,
375ml,12,고도리 아이스 와인 망고와인,고도리 와이너리,mba머루포도 효모 메타중아황사 설탕
375ml,11.5,고도리 프룬와인,고도리 와이너리,"자두 99.585%, 설탕 0.4%, 효모 0.005%, 메타중아황산칼륨 0.005%, 솔빈산칼륨 0.005%"
360ml,17.2,꽃빛서리,고창서해안복분자주,"증류원액(백미, 생화20가지, 효모), 정제수, 주정, 결정과당, 구연산, L-아스파라긴산, 효소처리스테비아"
300ml,13,고창선운산 땡큐블루베리주,고창선운산,"블루베리과실, 주정, 효모, 구연산, 정제수"
300ml,7.5,쿨샷 7.5,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수"
1800ml,15,고창선운산 복분자주 특1호,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수"
300ml,13,고창선운산 땡큐복분자주,고창선운산,"복분자과실, 주정, 효모, 구연산, 정제수"
"375ml, 700ml",13,동학 1957,고헌정영농조합법인,"국내산 쌀, 구연산, 효모, 젖산, 정제효소제, 국, 주정, 정제수"
350ml,12,골목막걸리 프리미엄 12,골목양조장,"정제수, 쌀(국내산), 국, 효모"
500ml,9,과천미주,과천도가,"정제수, 경기미햅쌀(국내산 멥쌀), 국, 효모 (밀함유)"
750ml,5,광양 생 막걸리 골드,광양주조공사,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소"
750ml,5,광양 생 막걸리,광양주조공사,"정제수, 쌀(국산100%), 입국(국산), 곡자(국산누룩), 아스파탐(감미료, 페닐알라닌 함유), 정제효소, 효모, 젖산, 액화효소"
900ml,16,경주교동법주,교동법주,찹쌀(국내산)
1000ml,6,구암대추막걸리,구암농산,"쌀, 대추"
"350ml, 300ml",4,아이싱 자몽,국순당,"쌀, 자몽엑기스"
750ml,6,국순당 생막걸리 대박,국순당,쌀
400ml,12.5,국순당 이화주,국순당,"이화누룩, 국내산쌀"
750ml,8,옛날막걸리 古,국순당,"국내산쌀, 누룩"
750ml,5,1000억 유산균 막걸리,국순당,"국내산쌀, 누룩"
550ml,18,사시통음주,국순당,"쌀, 누룩, 밀가루"
750ml,7,2017년 햅쌀로 빚은 첫술,국순당,국내산 햅쌀
"375ml, 500ml",25,려,국순당,"쌀증류소주원액(여주산 쌀 100%), 정제수, 고구마증류소주원액(여주산 고구마 100%)"
330ml,13,오디랑,국순당고창명주㈜,"오디(국산) 18.2%, 정제수, 과당, 주정, 구연산, 효모"
375ml,13,명작복분자,국순당고창명주㈜,복분자
750ml,6,선운산의 아침 복분자 막걸리,국순당고창명주㈜,"복분자, 쌀, 효모, 국, 과당, 구연산, 젖산, 정제수"
750ml,12,그랑꼬또 M56,그린영농조합,포도
750ml,12,그랑꼬또 로제와인,그린영농조합,포도
750ml,12,그랑꼬또 청수,그린영농조합,포도
"750ml, 375ml",12,그랑꼬또 레드와인,그린영농조합,국내산 포도(캠벨얼리)
375ml,15,바랑 탁,금계당,"국내산 찹쌀, 국내산 멥쌀, 누룩, 소맥분, 정제수"
375ml,17.5,별바랑,금계당,"국내산 찹쌀, 국내산 멥쌀, 누룩, 정제수"
360ml,12.5,금산인삼주 12.5%,금산인삼주,"국내산쌀 93.5%, 국내산인삼 6.5%"
375ml,12.5,명인 홍삼주,금산인삼주,"쌀, 홍삼, 누룩, 정제수 등"
375ml,35,금설,금산인삼주,"쌀(국내산)증류원액, 금박(순도97%), 기타과당"
750ml,12,미르아토 로제와인,금용농산,켐벨포도 등
750ml,12,미르아토 청수 스위트 (화이트)와인,금용농산,
200ml,40,미르아토 증류주 tears of god,금용농산,포도 등
500ml,12,사과와인,금이산농원,"사과(국내산), 백설탕, 효모, 메타중아황산칼륨"
500ml,12,복숭아와인,금이산농원,"복숭아(국내산), 백설탕, 효모, 메타중아황산칼륨"
750ml,8,금정산성막걸리,금정산성 토산주,"백미, 밀(누룩), 정제수"
750ml,6.9,금풍양조,금풍양조장,"정제수, 쌀(강화도), 국, 효모, 밀함유"
"400ml, 700ml, 1000ml",23,과하주23,김천과하주,쌀 100%
750ml,12,김천대학교 자두사랑 자두와인,김천대학교 자두사랑,피자두 (레드) / 후무사 (화이트)
750ml,6,미생 막걸리,김포금쌀탁주영농조합법인,"국내산 쌀, 누룩, 효모, 정제효소, 정제수"
750ml,6,선호 생막걸리,김포금쌀탁주영농조합법인,"국내산 쌀, 누룩, 효모, 정제효소, 천연감미료, 정제수"
375ml,15,김포특주,김포금쌀탁주영농조합법인,"국내산 쌀, 효모, 정제효소,정제수, 프락토올리고당"
600ml,11,한강의설레임,김포도가두두,"쌀(김포산), 개량누룩, 효모, 정제수"
750ml,6,김포 막걸리,김포양조,"쌀, 누룩, 정제수"
750ml,13,김포예주,김포양조,"국내산 쌀, 옥전분"
500ml,13,김포별주,김포양조,"쌀, 옥수수 전분, 국, 효모, 젖산, 효소제, 정제수"
750ml,11,김포약주,김포양조,"옥수수 전분, 밀, 국, 효모, 젖산, 효소제, 정제수"
750ml,13,김포예주 프리미엄,김포양조,"국내산 쌀, 국, 효모, 젖산, 정제수"
550ml,6,까메오 막걸리,낙천,"정제수, 쌀, 효모, 누룩, 과당 등"
750ml,6,지장수 호박 생 막걸리,낙천,"정제수(지장수), 쌀, 효모, 누룩, 과당 등"
550ml,6,지장수 호박막걸리,낙천,"정제수(지장수), 쌀, 효모, 누룩, 과당 등"
1700ml,5,낙천 옥수수 생동동주,낙천 탁주제조장,"정제수, 쌀, 옥수수분말, 치자, 입국, 효모, 올리고당, 정제효소, 아스파탐, 사카린나트륨, 밀함유"
750ml,9,열대야,날씨양조장,"쌀. 찹쌀, 누룩, 망고, 레몬, 정제수, 밀함유"
500ml,9,정고집 나주배 약주 9%,남도탁주,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모"
500ml,15,정고집 나주배 약주 15%,남도탁주,"쌀, 쌀가루(국내산), 배착즙액(나주산), 정제효소제, 종국, 젖산, 효모"
400ml,40,남한산성소주,남한산성소주,"쌀, 엿, 누룩"
375ml,21,남한산성소주 21,남한산성소주,"쌀증류식소주원액{맵쌀백미(국내산), 쌀}, 조청{쌀(국내산), 엿기름(보리, 국내산), 누룩, 정제수}, 정재수"
"200ml, 1800ml",50,강소주,내국양조,"국내산 쌀, 정제수"
375ml,25,화주,내국양조,"국내산 쌀, 홍삼농축액, 정제수"
